date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,went_to_shootout,outcome,home_elo,away_elo,elo_diff,home_recent_winrate,away_recent_winrate,home_recent_gd,away_recent_gd,form_diff,h2h_winrate,home_advantage
1872-11-30,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,False,draw,1500.0,1500.0,0.0,0.33,0.33,0.0,0.0,0.0,0.5,1
1873-03-08,England,Scotland,4,2,Friendly,London,England,False,False,home_win,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1874-03-07,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,False,home_win,1484.0,1516.0,-32.0,0.0,0.5,-1.0,1.0,-0.5,0.0,1
1875-03-06,England,Scotland,2,2,Friendly,London,England,False,False,draw,1498.5304984710244,1501.4695015289756,-2.9390030579511404,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.0,0.3333333333333333,1
1876-03-04,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,False,home_win,1501.3341586646084,1498.6658413353916,2.668317329216734,0.25,0.25,-0.25,0.25,0.0,0.25,1
1876-03-25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,False,home_win,1517.2112805263905,1500.0,17.21128052639051,0.4,0.33,0.4,0.0,0.07,0.5,1
1877-03-03,England,Scotland,1,3,Friendly,London,England,False,False,away_win,1482.7887194736095,1532.4193194899199,-49.63060001631038,0.2,0.6,-0.4,1.2,-0.39999999999999997,0.2,1
1877-03-05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,False,away_win,1484.7919610364706,1546.149166247837,-61.35720521136636,0.0,0.8,-4.0,2.0,-0.8,0.0,1
1878-03-02,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,False,home_win,1559.3525752836092,1469.0588727156924,90.29370256791685,0.8,0.2,2.2,-0.8,0.6000000000000001,0.5,1
1878-03-23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,False,home_win,1571.2855503619203,1471.5885520006984,99.69699836122186,1.0,0.0,3.2,-3.0,1.0,1.0,1
1879-01-18,England,Wales,2,1,Friendly,London,England,False,False,home_win,1457.1258976373813,1460.05777010368,-2.931872466298728,0.0,0.0,-2.2,-5.0,0.0,0.5,1
1879-04-05,England,Scotland,5,4,Friendly,London,England,False,False,home_win,1473.260912149307,1582.8163322589387,-109.55542010963177,0.2,1.0,-1.8,4.4,-0.8,0.14285714285714285,1
1879-04-07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,False,away_win,1443.9227555917544,1561.9319413176906,-118.00918572593628,0.0,0.8,-4.0,3.4,-0.8,0.0,1
1880-03-13,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,False,home_win,1572.6971924392578,1494.145303090555,78.55188934870284,0.8,0.4,3.6,-1.6,0.4,0.5,1
1880-03-15,Wales,England,2,3,Friendly,Wrexham,Wales,False,False,away_win,1433.1575044701872,1481.7023484200138,-48.5448439498266,0.0,0.4,-3.8,-1.2,-0.4,0.0,1
1880-03-27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,False,home_win,1585.140147109799,1419.378641803721,165.7615053060781,0.8,0.0,3.4,-3.2,0.8,1.0,1
